start_height,end_height,length_qubic_run,total_orphans_on_run,max_consecutive_orphan_heights,start_ts,end_ts
3468654,3468655,2,1,1,2025-08-02 00:26:28,2025-08-02 00:27:08
3469670,3469671,2,1,1,2025-08-03 08:54:27,2025-08-03 08:56:59
3471456,3471457,2,1,1,2025-08-05 21:31:33,2025-08-05 21:32:30
3472098,3472100,3,2,2,2025-08-06 19:33:50,2025-08-06 19:35:50
3472148,3472149,2,1,1,2025-08-06 20:51:13,2025-08-06 20:52:41
3472176,3472177,2,1,1,2025-08-06 21:53:23,2025-08-06 21:54:11
3472864,3472865,2,1,1,2025-08-07 19:19:52,2025-08-07 19:22:24
3473321,3473324,4,1,1,2025-08-08 09:49:48,2025-08-08 09:51:40
3473345,3473346,2,1,1,2025-08-08 10:41:49,2025-08-08 10:42:15
3474251,3474252,2,1,1,2025-08-09 17:32:09,2025-08-09 17:38:01
3474262,3474263,2,1,1,2025-08-09 18:01:05,2025-08-09 18:03:45
3474267,3474268,2,1,1,2025-08-09 18:16:25,2025-08-09 18:16:41
3474269,3474270,2,1,1,2025-08-09 18:19:53,2025-08-09 18:20:57
3474284,3474286,3,1,1,2025-08-09 18:40:57,2025-08-09 18:42:41
3474287,3474289,3,1,1,2025-08-09 18:44:09,2025-08-09 18:52:02
3474324,3474326,3,1,1,2025-08-09 19:55:54,2025-08-09 19:56:42
3474341,3474342,2,1,1,2025-08-09 20:24:26,2025-08-09 20:25:06
3474343,3474344,2,1,1,2025-08-09 20:26:58,2025-08-09 20:28:43
3474354,3474355,2,1,1,2025-08-09 20:52:51,2025-08-09 20:54:03
3475528,3475529,2,1,1,2025-08-11 12:15:32,2025-08-11 12:16:28
3475544,3475545,2,1,1,2025-08-11 12:52:28,2025-08-11 12:57:24
3475562,3475564,3,2,2,2025-08-11 13:27:48,2025-08-11 13:35:08
3475576,3475577,2,1,1,2025-08-11 14:07:49,2025-08-11 14:10:53
3475582,3475583,2,1,1,2025-08-11 14:21:17,2025-08-11 14:23:57
3475589,3475592,4,3,3,2025-08-11 14:43:01,2025-08-11 15:09:25
3475608,3475609,2,1,1,2025-08-11 15:43:02,2025-08-11 15:50:46
3475667,3475668,2,1,1,2025-08-11 17:31:11,2025-08-11 17:32:47
3475674,3475675,2,1,1,2025-08-11 17:48:23,2025-08-11 17:49:43
3475680,3475681,2,1,1,2025-08-11 17:54:55,2025-08-11 17:56:15
3475685,3475686,2,1,1,2025-08-11 18:05:43,2025-08-11 18:06:31
3475687,3475688,2,1,1,2025-08-11 18:10:07,2025-08-11 18:16:39
3475695,3475696,2,1,1,2025-08-11 18:24:47,2025-08-11 18:26:55
3475705,3475706,2,1,1,2025-08-11 18:50:16,2025-08-11 18:53:12
3475716,3475718,3,2,2,2025-08-11 19:13:28,2025-08-11 19:18:40
3475737,3475738,2,1,1,2025-08-11 20:01:20,2025-08-11 20:07:04
3475739,3475740,2,1,1,2025-08-11 20:09:20,2025-08-11 20:10:56
3475743,3475744,2,1,1,2025-08-11 20:15:04,2025-08-11 20:16:32
3475746,3475747,2,1,1,2025-08-11 20:20:08,2025-08-11 20:24:48
3475762,3475763,2,1,1,2025-08-11 21:08:17,2025-08-11 21:12:49
3475769,3475770,2,1,1,2025-08-11 21:29:05,2025-08-11 21:29:29
3475774,3475775,2,1,1,2025-08-11 21:40:17,2025-08-11 21:46:17
3475780,3475781,2,1,1,2025-08-11 21:54:33,2025-08-11 21:58:57
3475784,3475793,10,7,7,2025-08-11 22:14:18,2025-08-11 22:50:12
3475798,3475800,3,2,2,2025-08-11 23:04:58,2025-08-11 23:06:42
3475801,3475805,5,3,3,2025-08-11 23:13:38,2025-08-11 23:22:02
3475806,3475807,2,1,1,2025-08-11 23:23:30,2025-08-11 23:24:26
3475818,3475820,3,1,1,2025-08-11 23:51:14,2025-08-11 23:57:47
3475822,3475825,4,3,3,2025-08-12 00:02:27,2025-08-12 00:10:43
3475837,3475839,3,2,2,2025-08-12 00:43:55,2025-08-12 00:46:35
3475840,3475841,2,1,1,2025-08-12 00:48:35,2025-08-12 00:54:03
3475845,3475850,6,4,4,2025-08-12 01:01:55,2025-08-12 01:10:19
3475853,3475854,2,1,1,2025-08-12 01:25:39,2025-08-12 01:25:55
3475858,3475859,2,1,1,2025-08-12 01:32:27,2025-08-12 01:32:35
3475865,3475866,2,1,1,2025-08-12 01:41:08,2025-08-12 01:41:16
3475872,3475873,2,1,1,2025-08-12 01:51:08,2025-08-12 01:57:08
3475886,3475894,9,6,6,2025-08-12 02:28:28,2025-08-12 02:53:48
3475896,3475897,2,1,1,2025-08-12 02:54:44,2025-08-12 02:57:56
3475901,3475902,2,1,1,2025-08-12 03:05:08,2025-08-12 03:12:52
3475906,3475907,2,1,1,2025-08-12 03:15:57,2025-08-12 03:21:25
3475908,3475910,3,2,2,2025-08-12 03:22:29,2025-08-12 03:27:57
