start_height,end_height,orphan_len,total_orphans_on_run,total_qubic_orphans_on_run,length_qubic_run,qubic_start_height,qubic_end_height,orphan_start_time,orphan_end_time,qubic_start_time,qubic_end_time
3468654,3468654,1,0,0,2,3468654,3468655,2025-08-02 00:26:23+00:00,2025-08-02 00:26:23+00:00,2025-08-02 00:26:28+00:00,2025-08-02 00:27:08+00:00
3469670,3469670,1,0,0,2,3469670,3469671,2025-08-03 08:54:05+00:00,2025-08-03 08:54:05+00:00,2025-08-03 08:54:27+00:00,2025-08-03 08:56:59+00:00
3471456,3471456,1,0,0,2,3471456,3471457,2025-08-05 21:32:17+00:00,2025-08-05 21:32:17+00:00,2025-08-05 21:31:33+00:00,2025-08-05 21:32:30+00:00
3472098,3472099,2,0,0,3,3472098,3472100,2025-08-06 19:34:04+00:00,2025-08-06 19:34:40+00:00,2025-08-06 19:33:50+00:00,2025-08-06 19:35:50+00:00
3472148,3472148,1,0,0,2,3472148,3472149,2025-08-06 20:51:21+00:00,2025-08-06 20:51:21+00:00,2025-08-06 20:51:13+00:00,2025-08-06 20:52:41+00:00
3472176,3472176,1,0,0,2,3472176,3472177,2025-08-06 21:53:35+00:00,2025-08-06 21:53:35+00:00,2025-08-06 21:53:23+00:00,2025-08-06 21:54:11+00:00
3472864,3472864,1,0,0,2,3472864,3472865,2025-08-07 19:20:25+00:00,2025-08-07 19:20:25+00:00,2025-08-07 19:19:52+00:00,2025-08-07 19:22:24+00:00
3473321,3473321,1,0,0,4,3473321,3473324,2025-08-08 09:55:11+00:00,2025-08-08 09:55:11+00:00,2025-08-08 09:49:48+00:00,2025-08-08 09:51:40+00:00
3473345,3473345,1,0,0,2,3473345,3473346,2025-08-08 10:41:52+00:00,2025-08-08 10:41:52+00:00,2025-08-08 10:41:49+00:00,2025-08-08 10:42:15+00:00
3474251,3474251,1,0,0,2,3474251,3474252,2025-08-09 17:37:44+00:00,2025-08-09 17:37:44+00:00,2025-08-09 17:32:09+00:00,2025-08-09 17:38:01+00:00
3474262,3474262,1,0,0,2,3474262,3474263,2025-08-09 18:04:27+00:00,2025-08-09 18:04:27+00:00,2025-08-09 18:01:05+00:00,2025-08-09 18:03:45+00:00
3474267,3474267,1,0,0,2,3474267,3474268,2025-08-09 18:18:56+00:00,2025-08-09 18:18:56+00:00,2025-08-09 18:16:25+00:00,2025-08-09 18:16:41+00:00
3474269,3474269,1,0,0,2,3474269,3474270,2025-08-09 18:19:09+00:00,2025-08-09 18:19:09+00:00,2025-08-09 18:19:53+00:00,2025-08-09 18:20:57+00:00
3474284,3474284,1,0,0,3,3474284,3474286,2025-08-09 18:43:14+00:00,2025-08-09 18:43:14+00:00,2025-08-09 18:40:57+00:00,2025-08-09 18:42:41+00:00
